fid,srtm_36_04,X,Y
"198",889.0000000000,-2.9187500000,42.3912500000
"199",889.0000000000,-2.9179166667,42.3912500000
"200",883.0000000000,-2.9170833333,42.3912500000
"201",875.0000000000,-2.9162500000,42.3912500000
"202",869.0000000000,-2.9154166667,42.3912500000
"203",865.0000000000,-2.9145833333,42.3912500000
"204",860.0000000000,-2.9137500000,42.3912500000
"205",856.0000000000,-2.9129166667,42.3912500000
"206",851.0000000000,-2.9120833333,42.3912500000
"207",848.0000000000,-2.9112500000,42.3912500000
"208",847.0000000000,-2.9104166667,42.3912500000
"209",845.0000000000,-2.9095833333,42.3912500000
"210",846.0000000000,-2.9087500000,42.3912500000
"211",845.0000000000,-2.9079166667,42.3912500000
"212",842.0000000000,-2.9070833333,42.3912500000
"213",839.0000000000,-2.9062500000,42.3912500000
"214",841.0000000000,-2.9054166667,42.3912500000
"215",841.0000000000,-2.9045833333,42.3912500000
"216",831.0000000000,-2.9037500000,42.3912500000
"217",826.0000000000,-2.9029166667,42.3912500000
"218",825.0000000000,-2.9020833333,42.3912500000
"219",829.0000000000,-2.9012500000,42.3912500000
"220",829.0000000000,-2.9004166667,42.3912500000
"221",825.0000000000,-2.8995833333,42.3912500000
"222",828.0000000000,-2.8987500000,42.3912500000
"223",838.0000000000,-2.8979166667,42.3912500000
"224",844.0000000000,-2.8970833333,42.3912500000
"225",841.0000000000,-2.8962500000,42.3912500000
"226",838.0000000000,-2.8954166667,42.3912500000
"227",827.0000000000,-2.8945833333,42.3912500000
"228",822.0000000000,-2.8937500000,42.3912500000
"229",823.0000000000,-2.8929166667,42.3912500000
"230",823.0000000000,-2.8920833333,42.3912500000
"231",826.0000000000,-2.8912500000,42.3912500000
"232",828.0000000000,-2.8904166667,42.3912500000
"233",830.0000000000,-2.8895833333,42.3912500000
"234",830.0000000000,-2.8887500000,42.3912500000
"235",828.0000000000,-2.8879166667,42.3912500000
"236",827.0000000000,-2.8870833333,42.3912500000
"237",829.0000000000,-2.8862500000,42.3912500000
"238",824.0000000000,-2.8854166667,42.3912500000
"239",813.0000000000,-2.8845833333,42.3912500000
"240",804.0000000000,-2.8837500000,42.3912500000
"241",791.0000000000,-2.8829166667,42.3912500000
"242",774.0000000000,-2.8820833333,42.3912500000
"243",765.0000000000,-2.8812500000,42.3912500000
"244",762.0000000000,-2.8804166667,42.3912500000
"245",762.0000000000,-2.8795833333,42.3912500000
"246",759.0000000000,-2.8787500000,42.3912500000
"247",755.0000000000,-2.8779166667,42.3912500000
"248",750.0000000000,-2.8770833333,42.3912500000
"249",749.0000000000,-2.8762500000,42.3912500000
"250",747.0000000000,-2.8754166667,42.3912500000
"251",744.0000000000,-2.8745833333,42.3912500000
"252",742.0000000000,-2.8737500000,42.3912500000
"253",743.0000000000,-2.8729166667,42.3912500000
"254",745.0000000000,-2.8720833333,42.3912500000
"255",744.0000000000,-2.8712500000,42.3912500000
"256",742.0000000000,-2.8704166667,42.3912500000
"257",735.0000000000,-2.8695833333,42.3912500000
"258",727.0000000000,-2.8687500000,42.3912500000
"259",725.0000000000,-2.8679166667,42.3912500000
"260",722.0000000000,-2.8670833333,42.3912500000
"261",717.0000000000,-2.8662500000,42.3912500000
"262",717.0000000000,-2.8654166667,42.3912500000
"263",712.0000000000,-2.8645833333,42.3912500000
"264",708.0000000000,-2.8637500000,42.3912500000
"265",706.0000000000,-2.8629166667,42.3912500000
"266",701.0000000000,-2.8620833333,42.3912500000
"267",694.0000000000,-2.8612500000,42.3912500000
"268",689.0000000000,-2.8604166667,42.3912500000
"269",680.0000000000,-2.8595833333,42.3912500000
"270",680.0000000000,-2.8587500000,42.3912500000
"271",677.0000000000,-2.8579166667,42.3912500000
"272",675.0000000000,-2.8570833333,42.3912500000
"273",674.0000000000,-2.8562500000,42.3912500000
"274",671.0000000000,-2.8554166667,42.3912500000
"275",668.0000000000,-2.8545833333,42.3912500000
"276",667.0000000000,-2.8537500000,42.3912500000
"277",664.0000000000,-2.8529166667,42.3912500000
"278",661.0000000000,-2.8520833333,42.3912500000
"279",655.0000000000,-2.8512500000,42.3912500000
"280",652.0000000000,-2.8504166667,42.3912500000
"281",650.0000000000,-2.8495833333,42.3912500000
"282",650.0000000000,-2.8487500000,42.3912500000
"283",649.0000000000,-2.8479166667,42.3912500000
"284",650.0000000000,-2.8470833333,42.3912500000
"285",647.0000000000,-2.8462500000,42.3912500000
"286",648.0000000000,-2.8454166667,42.3912500000
"287",653.0000000000,-2.8445833333,42.3912500000
"288",653.0000000000,-2.8437500000,42.3912500000
"289",655.0000000000,-2.8429166667,42.3912500000
"290",652.0000000000,-2.8420833333,42.3912500000
"291",650.0000000000,-2.8412500000,42.3912500000
"292",648.0000000000,-2.8404166667,42.3912500000
"293",647.0000000000,-2.8395833333,42.3912500000
"294",645.0000000000,-2.8387500000,42.3912500000
"295",644.0000000000,-2.8379166667,42.3912500000
"296",644.0000000000,-2.8370833333,42.3912500000
"297",640.0000000000,-2.8362500000,42.3912500000
"298",638.0000000000,-2.8354166667,42.3912500000
"299",635.0000000000,-2.8345833333,42.3912500000
"300",635.0000000000,-2.8337500000,42.3912500000
"301",635.0000000000,-2.8329166667,42.3912500000
"302",632.0000000000,-2.8320833333,42.3912500000
"303",630.0000000000,-2.8312500000,42.3912500000
"304",630.0000000000,-2.8304166667,42.3912500000
"305",630.0000000000,-2.8295833333,42.3912500000
"306",628.0000000000,-2.8287500000,42.3912500000
"307",625.0000000000,-2.8279166667,42.3912500000
"308",624.0000000000,-2.8270833333,42.3912500000
"309",624.0000000000,-2.8262500000,42.3912500000
"310",622.0000000000,-2.8254166667,42.3912500000
"311",617.0000000000,-2.8245833333,42.3912500000
"312",617.0000000000,-2.8237500000,42.3912500000
"313",617.0000000000,-2.8229166667,42.3912500000
"314",617.0000000000,-2.8220833333,42.3912500000
"315",619.0000000000,-2.8212500000,42.3912500000
"316",621.0000000000,-2.8204166667,42.3912500000
"317",619.0000000000,-2.8195833333,42.3912500000
"318",616.0000000000,-2.8187500000,42.3912500000
"319",612.0000000000,-2.8179166667,42.3912500000
"320",608.0000000000,-2.8170833333,42.3912500000
"321",604.0000000000,-2.8162500000,42.3912500000
"322",603.0000000000,-2.8154166667,42.3912500000
"323",610.0000000000,-2.8145833333,42.3912500000
"324",611.0000000000,-2.8137500000,42.3912500000
"325",612.0000000000,-2.8129166667,42.3912500000
"326",610.0000000000,-2.8120833333,42.3912500000
"327",613.0000000000,-2.8112500000,42.3912500000
"328",615.0000000000,-2.8104166667,42.3912500000
"329",618.0000000000,-2.8095833333,42.3912500000
"330",616.0000000000,-2.8087500000,42.3912500000
"331",611.0000000000,-2.8079166667,42.3912500000
"332",607.0000000000,-2.8070833333,42.3912500000
"333",604.0000000000,-2.8062500000,42.3912500000
"334",603.0000000000,-2.8054166667,42.3912500000
"335",600.0000000000,-2.8045833333,42.3912500000
"336",599.0000000000,-2.8037500000,42.3912500000
"337",600.0000000000,-2.8029166667,42.3912500000
"338",599.0000000000,-2.8020833333,42.3912500000
"339",593.0000000000,-2.8012500000,42.3912500000
"340",588.0000000000,-2.8004166667,42.3912500000
"341",586.0000000000,-2.7995833333,42.3912500000
"342",584.0000000000,-2.7987500000,42.3912500000
"343",584.0000000000,-2.7979166667,42.3912500000
"344",583.0000000000,-2.7970833333,42.3912500000
"345",586.0000000000,-2.7962500000,42.3912500000
"346",589.0000000000,-2.7954166667,42.3912500000
"347",588.0000000000,-2.7945833333,42.3912500000
"348",583.0000000000,-2.7937500000,42.3912500000
"349",578.0000000000,-2.7929166667,42.3912500000
"350",570.0000000000,-2.7920833333,42.3912500000
"351",566.0000000000,-2.7912500000,42.3912500000
"352",562.0000000000,-2.7904166667,42.3912500000
"353",561.0000000000,-2.7895833333,42.3912500000
"354",558.0000000000,-2.7887500000,42.3912500000
"355",556.0000000000,-2.7879166667,42.3912500000
"356",554.0000000000,-2.7870833333,42.3912500000
"357",550.0000000000,-2.7862500000,42.3912500000
"358",548.0000000000,-2.7854166667,42.3912500000
"359",545.0000000000,-2.7845833333,42.3912500000
"360",545.0000000000,-2.7837500000,42.3912500000
"361",546.0000000000,-2.7829166667,42.3912500000
"362",548.0000000000,-2.7820833333,42.3912500000
"363",548.0000000000,-2.7812500000,42.3912500000
"364",547.0000000000,-2.7804166667,42.3912500000
"365",548.0000000000,-2.7795833333,42.3912500000
"366",547.0000000000,-2.7787500000,42.3912500000
"367",545.0000000000,-2.7779166667,42.3912500000
"368",551.0000000000,-2.7770833333,42.3912500000
"369",550.0000000000,-2.7762500000,42.3912500000
"370",544.0000000000,-2.7754166667,42.3912500000
"371",544.0000000000,-2.7745833333,42.3912500000
"372",551.0000000000,-2.7737500000,42.3912500000
"373",549.0000000000,-2.7729166667,42.3912500000
"374",545.0000000000,-2.7720833333,42.3912500000
"375",551.0000000000,-2.7712500000,42.3912500000
"376",546.0000000000,-2.7704166667,42.3912500000
"377",548.0000000000,-2.7695833333,42.3912500000
"378",546.0000000000,-2.7687500000,42.3912500000
"379",548.0000000000,-2.7679166667,42.3912500000
"380",546.0000000000,-2.7670833333,42.3912500000
"381",541.0000000000,-2.7662500000,42.3912500000
"382",543.0000000000,-2.7654166667,42.3912500000
"383",546.0000000000,-2.7645833333,42.3912500000
"384",541.0000000000,-2.7637500000,42.3912500000
"385",540.0000000000,-2.7629166667,42.3912500000
"386",538.0000000000,-2.7620833333,42.3912500000
"387",542.0000000000,-2.7612500000,42.3912500000
"388",551.0000000000,-2.7604166667,42.3912500000
"389",554.0000000000,-2.7595833333,42.3912500000
"390",551.0000000000,-2.7587500000,42.3912500000
"391",548.0000000000,-2.7579166667,42.3912500000
"392",547.0000000000,-2.7570833333,42.3912500000
"393",552.0000000000,-2.7562500000,42.3912500000
"394",557.0000000000,-2.7554166667,42.3912500000
"395",550.0000000000,-2.7545833333,42.3912500000
"396",554.0000000000,-2.7537500000,42.3912500000
"397",560.0000000000,-2.7529166667,42.3912500000
"398",565.0000000000,-2.7520833333,42.3912500000
"399",572.0000000000,-2.7512500000,42.3912500000
"400",581.0000000000,-2.7504166667,42.3912500000
"401",581.0000000000,-2.7495833333,42.3912500000
"402",581.0000000000,-2.7487500000,42.3912500000
"403",585.0000000000,-2.7479166667,42.3912500000
"404",588.0000000000,-2.7470833333,42.3912500000
"405",582.0000000000,-2.7462500000,42.3912500000
"406",567.0000000000,-2.7454166667,42.3912500000
"407",557.0000000000,-2.7445833333,42.3912500000
"408",555.0000000000,-2.7437500000,42.3912500000
"409",553.0000000000,-2.7429166667,42.3912500000
"410",553.0000000000,-2.7420833333,42.3912500000
"411",550.0000000000,-2.7412500000,42.3912500000
"412",543.0000000000,-2.7404166667,42.3912500000
"413",533.0000000000,-2.7395833333,42.3912500000
"414",523.0000000000,-2.7387500000,42.3912500000
"415",514.0000000000,-2.7379166667,42.3912500000
"416",509.0000000000,-2.7370833333,42.3912500000
"417",510.0000000000,-2.7362500000,42.3912500000
"418",514.0000000000,-2.7354166667,42.3912500000
"419",518.0000000000,-2.7345833333,42.3912500000
"420",513.0000000000,-2.7337500000,42.3912500000
"421",506.0000000000,-2.7329166667,42.3912500000
"422",507.0000000000,-2.7320833333,42.3912500000
"423",509.0000000000,-2.7312500000,42.3912500000
"424",516.0000000000,-2.7304166667,42.3912500000
"425",517.0000000000,-2.7295833333,42.3912500000
"426",519.0000000000,-2.7287500000,42.3912500000
"427",521.0000000000,-2.7279166667,42.3912500000
"428",521.0000000000,-2.7270833333,42.3912500000
"429",522.0000000000,-2.7262500000,42.3912500000
"430",525.0000000000,-2.7254166667,42.3912500000
"431",528.0000000000,-2.7245833333,42.3912500000
"432",532.0000000000,-2.7237500000,42.3912500000
"433",539.0000000000,-2.7229166667,42.3912500000
"434",554.0000000000,-2.7220833333,42.3912500000
"435",562.0000000000,-2.7212500000,42.3912500000
"436",554.0000000000,-2.7204166667,42.3912500000
"437",547.0000000000,-2.7195833333,42.3912500000
"438",546.0000000000,-2.7187500000,42.3912500000
"439",547.0000000000,-2.7179166667,42.3912500000
"440",548.0000000000,-2.7170833333,42.3912500000
"441",548.0000000000,-2.7162500000,42.3912500000
"442",549.0000000000,-2.7154166667,42.3912500000
"443",549.0000000000,-2.7145833333,42.3912500000
"444",550.0000000000,-2.7137500000,42.3912500000
"445",550.0000000000,-2.7129166667,42.3912500000
"446",552.0000000000,-2.7120833333,42.3912500000
"447",555.0000000000,-2.7112500000,42.3912500000
"448",555.0000000000,-2.7104166667,42.3912500000
"449",556.0000000000,-2.7095833333,42.3912500000
"450",558.0000000000,-2.7087500000,42.3912500000
"451",561.0000000000,-2.7079166667,42.3912500000
"452",563.0000000000,-2.7070833333,42.3912500000
"453",564.0000000000,-2.7062500000,42.3912500000
"454",565.0000000000,-2.7054166667,42.3912500000
